dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr
APPLES,BEEF - MODIFIED LAND LEXP,BEEF - NATURAL LAND LEXP,BEEF - MODIFIED LAND MEAT,BEEF - NATURAL LAND MEAT,CITRUS,COTTON,DAIRY - MODIFIED LAND,DAIRY - NATURAL LAND,GRAPES,HAY,NUTS,OTHER NON-CEREAL CROPS,PEARS,PLANTATION FRUIT,RICE,SHEEP - MODIFIED LAND LEXP,SHEEP - MODIFIED LAND MEAT,SHEEP - MODIFIED LAND WOOL,SHEEP - NATURAL LAND LEXP,SHEEP - NATURAL LAND MEAT,SHEEP - NATURAL LAND WOOL,STONE FRUIT,SUGAR,SUMMER CEREALS,SUMMER LEGUMES,SUMMER OILSEEDS,TROPICAL STONE FRUIT,UNALLOCATED - MODIFIED LAND,UNALLOCATED - NATURAL LAND,VEGETABLES,WINTER CEREALS,WINTER LEGUMES,WINTER OILSEEDS,APPLES,BEEF - MODIFIED LAND LEXP,BEEF - NATURAL LAND LEXP,BEEF - MODIFIED LAND MEAT,BEEF - NATURAL LAND MEAT,CITRUS,COTTON,DAIRY - MODIFIED LAND,DAIRY - NATURAL LAND,GRAPES,HAY,NUTS,OTHER NON-CEREAL CROPS,PEARS,PLANTATION FRUIT,RICE,SHEEP - MODIFIED LAND LEXP,SHEEP - MODIFIED LAND MEAT,SHEEP - MODIFIED LAND WOOL,SHEEP - NATURAL LAND LEXP,SHEEP - NATURAL LAND MEAT,SHEEP - NATURAL LAND WOOL,STONE FRUIT,SUGAR,SUMMER CEREALS,SUMMER LEGUMES,SUMMER OILSEEDS,TROPICAL STONE FRUIT,UNALLOCATED - MODIFIED LAND,UNALLOCATED - NATURAL LAND,VEGETABLES,WINTER CEREALS,WINTER LEGUMES,WINTER OILSEEDS
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.00372497691957,1.00984498317271,1.00984498317271,1.00984498317271,1.00984498317271,1.00372497691957,1.00372497691957,1.01238153501573,1.01238153501573,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1.0067061544513,1.0067061544513,0.99231329000328,1.0067061544513,1.0067061544513,0.99231329000328,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1,1,1.00372497691957,1.00372497691957,1.00372497691957,1.00372497691957,1.00744995383913,1.01968996634543,1.01968996634543,1.01968996634543,1.01968996634543,1.00744995383913,1.00744995383913,1.02476307003146,1.02476307003146,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.01341230890259,1.01341230890259,0.984685665517134,1.01341230890259,1.01341230890259,0.984685665517134,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1,1,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913
1.00744995383913,1.01968996634543,1.01968996634543,1.01968996634543,1.01968996634543,1.00744995383913,1.00744995383913,1.02476307003146,1.02476307003146,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.01341230890259,1.01341230890259,0.984685665517134,1.01341230890259,1.01341230890259,0.984685665517134,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1,1,1.00744995383913,1.00744995383913,1.00744995383913,1.00744995383913,1.01489990767827,1.03937993269086,1.03937993269086,1.03937993269086,1.03937993269086,1.01489990767827,1.01489990767827,1.04952614006292,1.04952614006292,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.02682461780518,1.02682461780518,0.969605859874921,1.02682461780518,1.02682461780518,0.969605859874921,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1,1,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827
1.0111749307587,1.02953494951814,1.02953494951814,1.02953494951814,1.02953494951814,1.0111749307587,1.0111749307587,1.03714460504719,1.03714460504719,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1.02011846335389,1.02011846335389,0.977116672368377,1.02011846335389,1.02011846335389,0.977116672368377,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1,1,1.0111749307587,1.0111749307587,1.0111749307587,1.0111749307587,1.0223498615174,1.05906989903628,1.05906989903628,1.05906989903628,1.05906989903628,1.0223498615174,1.0223498615174,1.07428921009438,1.07428921009438,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.04023692670777,1.04023692670777,0.95475699142025,1.04023692670777,1.04023692670777,0.95475699142025,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1,1,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174
1.01489990767827,1.03937993269086,1.03937993269086,1.03937993269086,1.03937993269086,1.01489990767827,1.01489990767827,1.04952614006292,1.04952614006292,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.02682461780518,1.02682461780518,0.969605859874921,1.02682461780518,1.02682461780518,0.969605859874921,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1,1,1.01489990767827,1.01489990767827,1.01489990767827,1.01489990767827,1.02979981535653,1.07875986538171,1.07875986538171,1.07875986538171,1.07875986538171,1.02979981535653,1.02979981535653,1.09905228012584,1.09905228012584,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.05364923561036,1.05364923561036,0.940135523503785,1.05364923561036,1.05364923561036,0.940135523503785,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1,1,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653
1.01862488459783,1.04922491586357,1.04922491586357,1.04922491586357,1.04922491586357,1.01862488459783,1.01862488459783,1.06190767507865,1.06190767507865,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1.03353077225648,1.03353077225648,0.962152780818942,1.03353077225648,1.03353077225648,0.962152780818942,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1,1,1.01862488459783,1.01862488459783,1.01862488459783,1.01862488459783,1.03724976919566,1.09844983172714,1.09844983172714,1.09844983172714,1.09844983172714,1.03724976919566,1.03724976919566,1.12381535015729,1.12381535015729,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566,1.06706154451295,1.06706154451295,0.925737973637624,1.06706154451295,1.06706154451295,0.925737973637624,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566,1,1,1.03724976919566,1.03724976919566,1.03724976919566,1.03724976919566
1.0223498615174,1.05906989903628,1.05906989903628,1.05906989903628,1.05906989903628,1.0223498615174,1.0223498615174,1.07428921009438,1.07428921009438,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.04023692670777,1.04023692670777,0.95475699142025,1.04023692670777,1.04023692670777,0.95475699142025,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1,1,1.0223498615174,1.0223498615174,1.0223498615174,1.0223498615174,1.0446997230348,1.11813979807257,1.11813979807257,1.11813979807257,1.11813979807257,1.0446997230348,1.0446997230348,1.14857842018875,1.14857842018875,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348,1.08047385341554,1.08047385341554,0.911560912665847,1.08047385341554,1.08047385341554,0.911560912665847,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348,1,1,1.0446997230348,1.0446997230348,1.0446997230348,1.0446997230348
1.02607483843696,1.068914882209,1.068914882209,1.068914882209,1.068914882209,1.02607483843696,1.02607483843696,1.08667074511011,1.08667074511011,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1.04694308115907,1.04694308115907,0.947418051309862,1.04694308115907,1.04694308115907,0.947418051309862,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1,1,1.02607483843696,1.02607483843696,1.02607483843696,1.02607483843696,1.05214967687393,1.137829764418,1.137829764418,1.137829764418,1.137829764418,1.05214967687393,1.05214967687393,1.17334149022021,1.17334149022021,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393,1.09388616231813,1.09388616231813,0.897600963947775,1.09388616231813,1.09388616231813,0.897600963947775,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393,1,1,1.05214967687393,1.05214967687393,1.05214967687393,1.05214967687393
1.02979981535653,1.07875986538171,1.07875986538171,1.07875986538171,1.07875986538171,1.02979981535653,1.02979981535653,1.09905228012584,1.09905228012584,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.05364923561036,1.05364923561036,0.940135523503785,1.05364923561036,1.05364923561036,0.940135523503785,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1,1,1.02979981535653,1.02979981535653,1.02979981535653,1.02979981535653,1.05959963071306,1.15751973076343,1.15751973076343,1.15751973076343,1.15751973076343,1.05959963071306,1.05959963071306,1.19810456025167,1.19810456025167,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306,1.10729847122072,1.10729847122072,0.883854802553736,1.10729847122072,1.10729847122072,0.883854802553736,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306,1,1,1.05959963071306,1.05959963071306,1.05959963071306,1.05959963071306
